model,dataset,iteration,auc,metric
nb-sbert-base,gov-ai,7,0.6796450978998948,binary_auc
M2V_base_glove_subword,gov-ai,4,0.6273526320873413,binary_auc
multilingual-e5-large,gov-ai,9,0.5795171683694851,binary_auc
model2vecdk-stem,gov-ai,3,0.5033431064276531,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,6,0.655904205676178,binary_auc
potion-base-4M,gov-ai,4,0.6902989640055215,binary_auc
model2vecdk-stem,gov-ai,9,0.5103888351149007,binary_auc
multilingual-e5-large-instruct,gov-ai,9,0.7860827363124249,binary_auc
text-embedding-3-large,gov-ai,4,0.7595893327187855,binary_auc
potion-base-2M,gov-ai,3,0.6551889401690463,binary_auc
M2V_base_glove_subword,gov-ai,7,0.6295124394238821,binary_auc
multilingual-e5-large,gov-ai,3,0.6012586540650936,binary_auc
mmBERTscandi-base-embedding,gov-ai,4,0.8496892818468292,binary_auc
text-embedding-ada-002,gov-ai,8,0.7490498237778241,binary_auc
text-embedding-3-large,gov-ai,9,0.7458907227471472,binary_auc
text-embedding-3-large,gov-ai,1,0.75335534322699,binary_auc
text-embedding-3-small,gov-ai,6,0.773760764359772,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,1,0.7947691434219878,binary_auc
model2vecdk,gov-ai,4,0.5704756828027344,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,1,0.6118720085381179,binary_auc
mmBERTscandi-base-embedding,gov-ai,7,0.8525874074869264,binary_auc
mmBERTscandi-base-embedding,gov-ai,6,0.8490544280879994,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,2,0.8047150461965672,binary_auc
potion-base-8M,gov-ai,9,0.7158290466671585,binary_auc
text-embedding-3-large,gov-ai,8,0.7637867202899326,binary_auc
dfm-sentence-encoder-large,gov-ai,8,0.6680291571524606,binary_auc
multilingual-e5-base,gov-ai,3,0.5696493065579027,binary_auc
potion-base-2M,gov-ai,2,0.6655962713098492,binary_auc
dfm-sentence-encoder-large,gov-ai,7,0.6735274064471874,binary_auc
potion-multilingual-128M,gov-ai,4,0.7294974469018899,binary_auc
multilingual-e5-large-instruct,gov-ai,7,0.7903642298290116,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,0,0.7864417442974525,binary_auc
M2V_base_glove_subword,gov-ai,8,0.6194416050064394,binary_auc
mxbai-embed-large-v1,gov-ai,9,0.806157698299995,binary_auc
m2v-dfm-large,gov-ai,5,0.35016663529463093,binary_auc
multilingual-e5-small,gov-ai,6,0.5884565574250775,binary_auc
LaBSE,gov-ai,2,0.6526773535373546,binary_auc
mxbai-embed-large-v1,gov-ai,4,0.818371201059622,binary_auc
mxbai-embed-large-v1,gov-ai,3,0.8031148887444626,binary_auc
multilingual-e5-large,gov-ai,7,0.591668362845901,binary_auc
text-embedding-ada-002,gov-ai,5,0.7438717541247428,binary_auc
multilingual-e5-large-instruct,gov-ai,5,0.7897799414819158,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,4,0.6896930262089582,binary_auc
model2vecdk-stem,gov-ai,8,0.49070745720081815,binary_auc
potion-multilingual-128M,gov-ai,7,0.7285371858680159,binary_auc
potion-base-8M,gov-ai,5,0.7045251554865102,binary_auc
potion-multilingual-128M,gov-ai,8,0.7241704908345953,binary_auc
m2v-dfm-large,gov-ai,9,0.35987934792903503,binary_auc
bge-m3,gov-ai,2,0.6921648933656102,binary_auc
multilingual-e5-large,gov-ai,5,0.5891840161974833,binary_auc
nb-sbert-base,gov-ai,8,0.6815831782846998,binary_auc
xlm-roberta-base,gov-ai,3,0.40104615185985487,binary_auc
potion-multilingual-128M,gov-ai,9,0.7263297339870766,binary_auc
multilingual-e5-small,gov-ai,9,0.5914755337226812,binary_auc
dfm-sentence-encoder-large,gov-ai,5,0.6732173169592858,binary_auc
multilingual-e5-large,gov-ai,4,0.5844376384845478,binary_auc
dfm-sentence-encoder-large,gov-ai,0,0.6628391711386403,binary_auc
nb-sbert-base,gov-ai,3,0.675520084614545,binary_auc
bge-m3,gov-ai,0,0.6945954378252744,binary_auc
nb-sbert-base,gov-ai,1,0.6694504273595284,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,7,0.6385443048542704,binary_auc
bge-m3,gov-ai,9,0.6874343453932059,binary_auc
multilingual-e5-small,gov-ai,1,0.58620062340916,binary_auc
m2v-dfm-large,gov-ai,7,0.37180315955585946,binary_auc
mmBERTscandi-base-embedding,gov-ai,1,0.8469029458154508,binary_auc
dfm-sentence-encoder-large,gov-ai,1,0.6628987623682833,binary_auc
xlm-roberta-large,gov-ai,2,0.4203613676080483,binary_auc
M2V_base_output,gov-ai,4,0.5304202579661141,binary_auc
M2V_base_glove,gov-ai,3,0.632587933158631,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,3,0.7930065653574654,binary_auc
m2v-dfm-large,gov-ai,3,0.3614923286516156,binary_auc
m2v-dfm-large,gov-ai,8,0.3408832852364241,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,0,0.8121360295645423,binary_auc
potion-base-8M,gov-ai,1,0.7121975676078338,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,2,0.6118601688781763,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,8,0.7651805635988628,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,2,0.7016908719491327,binary_auc
multilingual-e5-large,gov-ai,1,0.5806394146263211,binary_auc
LaBSE,gov-ai,8,0.6545797830660444,binary_auc
LaBSE,gov-ai,4,0.6499345039990297,binary_auc
LaBSE,gov-ai,5,0.6515557533292469,binary_auc
text-embedding-3-large,gov-ai,5,0.7565302369219084,binary_auc
nb-sbert-base,gov-ai,0,0.6680945973365623,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,1,0.6935617517643868,binary_auc
multilingual-e5-large,gov-ai,2,0.5798907832181572,binary_auc
M2V_base_glove_subword,gov-ai,0,0.6183380266739479,binary_auc
text-embedding-ada-002,gov-ai,1,0.7462227296543528,binary_auc
mxbai-embed-large-v1,gov-ai,6,0.8101573347676319,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,9,0.6203080653385894,binary_auc
xlm-roberta-large,gov-ai,9,0.41275593963968726,binary_auc
M2V_base_glove_subword,gov-ai,3,0.6229674023728188,binary_auc
xlm-roberta-base,gov-ai,2,0.3945003034940207,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,3,0.6260842928729494,binary_auc
Qwen3-Embedding-0.6B,gov-ai,2,0.7928755729160867,binary_auc
dfm-sentence-encoder-large,gov-ai,4,0.6701025180044209,binary_auc
nb-sbert-base,gov-ai,9,0.6729477553775358,binary_auc
potion-base-8M,gov-ai,0,0.7132056380450981,binary_auc
potion-multilingual-128M,gov-ai,6,0.7216926405855385,binary_auc
xlm-roberta-base,gov-ai,9,0.38841019376771657,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,8,0.7928265396322243,binary_auc
LaBSE,gov-ai,0,0.6541775817311207,binary_auc
mmBERTscandi-base-embedding,gov-ai,5,0.8451699159148606,binary_auc
potion-base-4M,gov-ai,2,0.706493964009288,binary_auc
potion-base-8M,gov-ai,4,0.7097866626443405,binary_auc
M2V_base_output,gov-ai,1,0.5317785647836504,binary_auc
mxbai-embed-large-v1,gov-ai,2,0.8148972173090971,binary_auc
multilingual-e5-small,gov-ai,4,0.583916932140468,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,9,0.685712255772994,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,6,0.6849158343897709,binary_auc
multilingual-e5-small,gov-ai,3,0.5923292326851257,binary_auc
potion-multilingual-128M,gov-ai,3,0.7290204468647666,binary_auc
m2v-dfm-large,gov-ai,0,0.3687189389780311,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,5,0.6544831259089211,binary_auc
xlm-roberta-large,gov-ai,7,0.4092666744932576,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,0,0.6471127749625728,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,2,0.6442190687658121,binary_auc
EmbeddingGemma-Scandi-300m,gov-ai,6,0.7982553253124934,binary_auc
text-embedding-ada-002,gov-ai,6,0.7519993771309733,binary_auc
xlm-roberta-base,gov-ai,8,0.4067762308832404,binary_auc
text-embedding-3-large,gov-ai,0,0.7542261746181567,binary_auc
M2V_base_glove,gov-ai,1,0.632416670944727,binary_auc
snowflake-arctic-embed-l-v2.0,gov-ai,3,0.6626385530238704,binary_auc
Qwen3-Embedding-Scandi-0.6B,gov-ai,6,0.7640851185936242,binary_auc
multilingual-e5-base,gov-ai,0,0.5699956343851448,binary_auc
multilingual-e5-small,gov-ai,0,0.5809729728111738,binary_auc
static-similarity-mrl-multilingual-v1,gov-ai,8,0.6202540339154695,binary_auc
multilingual-e5-large-instruct,gov-ai,8,0.7926426240507228,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,5,0.8127619213152927,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,0,0.6861730220926211,binary_auc
potion-base-4M,gov-ai,7,0.7063521565572771,binary_auc
nb-sbert-base,gov-ai,2,0.6886082934323601,binary_auc
potion-base-8M,gov-ai,8,0.7196297999517136,binary_auc
M2V_base_glove_subword,gov-ai,9,0.6284794797920518,binary_auc
paraphrase-multilingual-mpnet-base-v2,gov-ai,7,0.8074905155756308,binary_auc
Qwen3-Embedding-0.6B,gov-ai,3,0.7925413782126569,binary_auc
text-embedding-3-small,gov-ai,0,0.7718621068130016,binary_auc
