dataset,seed,user_id,statement_id,x_normalised,y_normalised
rai,25,D_coords,138,0.2928370786516854,0.5994858611825192
rai,9,H_coords,870,0.7556366047745358,0.47654784240150094
rai,3,E_coords,511,0.5957257346393589,0.6044973544973545
welfare,3,H_coords,950,0.41787033926771916,0.48687910028116216
rai,26,H_coords,388,0.2928267278087127,0.8213796253997259
welfare,6,B_coords,1117,0.16323082122338628,0.9222412807318467
rai,25,G_coords,743,0.5202098117864856,0.4668521094112193
welfare,1,H_coords,891,0.4189189189189189,0.5794969150450878
welfare,28,H_coords,1019,0.5630737844270656,0.1699074074074074
welfare,27,G_coords,1177,0.28703703703703703,0.8206125425376762
rai,14,E_coords,194,0.24123904881101377,0.7553047404063206
rai,22,A_coords,192,0.10695538057742782,0.4413953488372093
welfare,7,B_coords,1001,0.5419523343127652,0.4403409090909091
rai,11,B_coords,38,0.34942528735632183,0.47540983606557374
welfare,3,H_coords,1000,0.5854887470607995,0.514058106841612
rai,11,G_coords,207,0.7658041270881101,0.4682723483094025
welfare,9,G_coords,1191,0.302130898021309,0.8864583333333333
rai,19,D_coords,563,0.1608974358974359,0.7871842843779233
welfare,29,E_coords,1137,0.12086776859504132,0.3634072580645161
welfare,7,G_coords,958,0.14709897610921502,0.14736346516007534
welfare,29,E_coords,884,0.4108126721763085,0.921875
welfare,7,G_coords,1074,0.5443686006825939,0.16242937853107345
rai,1,D_coords,243,0.5271649654264077,0.3066472586123241
rai,2,H_coords,81,0.6478743068391867,0.61859410430839
rai,27,H_coords,626,0.4197938144329897,0.5723970944309927
rai,28,B_coords,91,0.6793422404933196,0.48277583624563153
rai,19,E_coords,543,0.9246290801186944,0.3090828924162258
rai,27,B_coords,188,0.0512373649355176,0.2992545260915868
rai,18,G_coords,256,0.7420106524633822,0.45415676959619955
rai,0,D_coords,363,0.6016343207354443,0.3179278821736922
rai,8,H_coords,360,0.2529335071707953,0.3663594470046083
welfare,28,H_coords,880,0.6524991499489969,0.5027777777777778
rai,2,A_coords,695,0.784965034965035,0.5306823760432008
rai,28,B_coords,703,0.5217540253511477,0.5222166749875187
rai,28,B_coords,81,0.36108256252141147,0.07538691962056915
rai,27,B_coords,141,0.5475775531544091,0.6048988285410011
rai,19,D_coords,85,0.9009615384615385,0.6506080449017774
rai,6,B_coords,770,0.17706708268330734,0.8306574923547401
rai,29,E_coords,192,0.1141029956243689,0.04082636497786522
rai,13,B_coords,440,0.9236921026324558,0.453551912568306
rai,4,G_coords,475,0.8933608531131751,0.31039678553490707
welfare,5,E_coords,1042,0.3522982963677274,0.8509615384615384
rai,3,E_coords,603,0.043929949539922825,0.3386243386243386
rai,18,B_coords,569,0.9280221470316825,0.2698412698412698
rai,27,H_coords,193,0.3843298969072165,0.1820823244552058
rai,17,H_coords,745,0.43578447983734325,0.3230174081237911
rai,27,B_coords,14,0.23178807947019867,0.10489882854100106
rai,20,A_coords,258,0.45996649916247906,0.6016299137104506
rai,26,B_coords,492,0.669220945083014,0.6513157894736842
rai,6,G_coords,193,0.13627700127064804,0.6371252204585538
rai,17,A_coords,392,0.5686209193870753,0.07450254511800093
welfare,27,A_coords,1223,0.5104166666666666,0.4234279918864097
rai,6,G_coords,695,0.9332909783989835,0.7711640211640212
rai,17,H_coords,861,0.5191460521856998,0.6852030947775629
rai,17,A_coords,196,0.871419053964024,0.5997223507635354
welfare,9,G_coords,1112,0.15334855403348555,0.17552083333333332
welfare,3,H_coords,1020,0.62882096069869,0.3828491096532334
rai,21,D_coords,374,0.45296771954182574,0.14248434237995825
rai,4,D_coords,608,0.5522243713733076,0.3762192289828147
welfare,5,B_coords,1077,0.2838487972508591,0.4202755905511811
rai,27,H_coords,145,0.5797938144329897,0.6087167070217918
rai,14,E_coords,340,0.3976846057571965,0.92686230248307
welfare,12,D_coords,1063,0.35027027027027025,0.37412731006160166
rai,5,E_coords,712,0.15281413612565445,0.8225430833721472
rai,11,B_coords,137,0.5251596424010218,0.6036429872495446
rai,15,G_coords,604,0.8237547892720306,0.22504621072088724
welfare,0,A_coords,1048,0.08654173764906303,0.1859223300970874
rai,19,E_coords,748,0.8495548961424332,0.8328924162257496
welfare,2,E_coords,1174,0.6976668826960467,0.37348227294803304
rai,13,B_coords,656,0.5561479506831056,0.24689518132141083
welfare,1,H_coords,898,0.2274131274131274,0.8087327954437589
rai,19,E_coords,190,0.13234421364985163,0.1591710758377425
rai,15,G_coords,624,0.6184546615581098,0.305452865064695
rai,1,G_coords,567,0.19198312236286919,0.21131697546319478
rai,25,D_coords,806,0.8044241573033708,0.7557840616966581
welfare,3,H_coords,1158,0.33456499832045683,0.1007497656982193
rai,8,H_coords,538,0.35071707953063885,0.7824884792626728
rai,24,D_coords,493,0.45871238628411476,0.6836016096579477
rai,4,D_coords,188,0.9049000644745325,0.5373896888063168
rai,12,A_coords,642,0.1172859450726979,0.8010923987255348
welfare,1,H_coords,1008,0.8023166023166023,0.18224964404366398
rai,21,G_coords,188,0.11328125,0.34104581212401663
rai,24,D_coords,606,0.36599020293911827,0.9079476861167002
rai,15,G_coords,718,0.8805874840357599,0.2966728280961183
rai,6,G_coords,47,0.5511435832274459,0.29056437389770723
rai,8,H_coords,195,0.10039113428943937,0.16267281105990783
rai,29,B_coords,132,0.04821638573108585,0.47575169738118334
welfare,6,B_coords,885,0.2875971612031092,0.8158947970268725
welfare,10,A_coords,1227,0.5135769359704995,0.07986609277857484
rai,25,G_coords,605,0.14038876889848811,0.21094112192860454
rai,3,A_coords,451,0.5357638888888889,0.4189390183440754
welfare,4,H_coords,874,0.04257555847568988,0.19425801640566742
rai,0,D_coords,123,0.7385086823289071,0.5606907059421026
welfare,28,H_coords,949,0.40802448146888814,0.08935185185185185
welfare,11,H_coords,1090,0.6098881270299531,0.27218390804597703
welfare,27,G_coords,1174,0.8196159122085048,0.808458920758386
rai,12,H_coords,88,0.465436346574914,0.12610229276895943
rai,12,H_coords,276,0.73287456990929,0.28527336860670194
welfare,12,D_coords,1099,0.17216216216216215,0.5232032854209445
rai,12,H_coords,511,0.643728495464498,0.2641093474426808
rai,28,H_coords,703,0.4018146467919637,0.6558005752636625
welfare,5,E_coords,875,0.0742526518804243,0.32019230769230766
welfare,9,G_coords,1197,0.8040334855403348,0.6109375
welfare,9,D_coords,1041,0.2749579831932773,0.5735505510301868
rai,12,H_coords,278,0.7907413199874883,0.16843033509700175
rai,9,H_coords,272,0.33521220159151194,0.2077861163227017
rai,18,G_coords,569,0.1611185086551265,0.17149643705463183
welfare,29,E_coords,1144,0.39807162534435264,0.08266129032258064
rai,13,B_coords,312,0.20093302232589136,0.29508196721311475
welfare,27,A_coords,1222,0.19930555555555557,0.22515212981744423
welfare,0,A_coords,1050,0.2541737649063032,0.21893203883495146
rai,27,B_coords,517,0.3680724991286162,0.7928647497337593
welfare,9,G_coords,917,0.2165144596651446,0.6145833333333334
