model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
Qwen3-Embedding-0.6B,rai,Easy ($d$: top 20%),Worst,0.13776002398207407,0.1263930984984632,0.1471224167258997
paraphrase-multilingual-mpnet-base-v2,rai,Hard ($d$: bottom 20%),Mean,0.012789705498655308,-0.007061282802074287,0.02656689227179418
multilingual-e5-small,welfare,Hard ($d$: bottom 20%),Mean,0.011975630315364106,0.004547375353082676,0.020289089070120284
Human,rai,Hard ($d$: bottom 20%),Best,0.6630743378964187,0.36108542263783167,0.9043116016595778
text-embedding-3-large,welfare,Easy ($d$: top 20%),Mean,0.4302050942422887,0.4231915367516969,0.43768705110836437
bge-m3,welfare,Easy ($d$: top 20%),Mean,0.4069673270105255,0.3986169038089242,0.41363537209690104
multilingual-e5-base,rai,Hard ($d$: bottom 20%),Worst,-0.010865494145823763,-0.04649077061252594,0.012338732096537467
snowflake-arctic-embed-l-v2.0,welfare,Easy ($d$: top 20%),Best,0.47168906801838983,0.4582331325714069,0.4883760408806823
mmBERTscandi-base-embedding,welfare,Hard ($d$: bottom 20%),Best,0.04727326344371564,0.031041226159106226,0.0666525425243866
potion-multilingual-128M,welfare,Hard ($d$: bottom 20%),Worst,-0.004979502821696355,-0.016365011177553977,0.006434929067931691
potion-multilingual-128M,welfare,Easy ($d$: top 20%),Worst,0.30583551595536074,0.2865275981282415,0.32023978694416366
LaBSE,welfare,Easy ($d$: top 20%),Worst,0.36013614305984554,0.3419118149906686,0.37536277611211366
text-embedding-3-small,rai,Easy ($d$: top 20%),Worst,0.28660197171699453,0.2766335905541714,0.29441173371154383
text-embedding-3-small,welfare,Easy ($d$: top 20%),Worst,0.41901372011279664,0.4011240743580517,0.4304396119198594
model2vecdk-stem,rai,Easy ($d$: top 20%),Worst,0.26705690389804504,0.2573840126616861,0.27709390742100304
M2V_base_output,welfare,Hard ($d$: bottom 20%),Mean,0.0325004398813401,0.023757675418947553,0.04072836364856564
paraphrase-multilingual-mpnet-base-v2,rai,Easy ($d$: top 20%),Worst,0.35478470080339647,0.3453015271003534,0.3618826185393201
multilingual-e5-small,rai,Easy ($d$: top 20%),Mean,0.2701849853987318,0.25620362565792226,0.2877559605722093
M2V_base_output,welfare,Easy ($d$: top 20%),Best,0.24590824197273575,0.22970222271269333,0.26337882368145504
xlm-roberta-large,rai,Hard ($d$: bottom 20%),Best,0.0672997706283036,0.0224699373294501,0.10989502744375913
snowflake-arctic-embed-l-v2.0,rai,Easy ($d$: top 20%),Mean,0.35027484979513274,0.33443719703406555,0.35955052108717084
mxbai-embed-large-v1,rai,Easy ($d$: top 20%),Best,0.2740553708118122,0.2353268628258808,0.3177424419871948
Qwen3-Embedding-0.6B,welfare,Hard ($d$: bottom 20%),Worst,-0.057839946878463104,-0.07103983509373768,-0.04307428923117064
LaBSE,welfare,Easy ($d$: top 20%),Best,0.4482508354035343,0.4355263846055318,0.4642122542860728
snowflake-arctic-embed-l-v2.0,rai,Hard ($d$: bottom 20%),Best,0.022779371236567453,0.013713727212169314,0.049440839521891794
multilingual-e5-large,welfare,Easy ($d$: top 20%),Best,0.4010267232609705,0.38722244064100964,0.4126584526293102
M2V_base_output,welfare,Hard ($d$: bottom 20%),Best,0.05556670974555084,0.039155749664236836,0.07097010077871814
multilingual-e5-base,rai,Easy ($d$: top 20%),Best,0.3032533485172496,0.28113873818482554,0.346479119182413
LaBSE,rai,Easy ($d$: top 20%),Mean,0.26884775813230183,0.2530630087834851,0.2818564575245609
multilingual-e5-large-instruct,welfare,Easy ($d$: top 20%),Worst,0.42662537822251523,0.41400010283260114,0.4433394793255547
EmbeddingGemma-Scandi-300m,rai,Easy ($d$: top 20%),Worst,0.30438158264167575,0.2926057003780506,0.3112603963769154
Human,rai,Hard ($d$: bottom 20%),Mean,0.4112698012375711,0.29146174216229187,0.5075167085315524
Human,welfare,Easy ($d$: top 20%),Mean,0.9346856616702846,0.897007820344787,0.965086055936888
M2V_base_output,rai,Hard ($d$: bottom 20%),Best,0.05324604681412836,0.020886640554100812,0.09325304804964764
M2V_base_glove_subword,rai,Easy ($d$: top 20%),Worst,0.08033204960781973,0.0327235275085716,0.11575122954083975
paraphrase-multilingual-MiniLM-L12-v2,rai,Easy ($d$: top 20%),Mean,0.3306036523654388,0.32198824710849816,0.344820096455649
mmBERTscandi-base-embedding,welfare,Hard ($d$: bottom 20%),Mean,0.03119123262139343,0.02116872524560198,0.039412264024992365
xlm-roberta-base,welfare,Hard ($d$: bottom 20%),Worst,-0.01766395707935223,-0.02983452044486821,0.00122397566912587
potion-base-8M,rai,Easy ($d$: top 20%),Best,0.13909608355970057,0.1309933196851186,0.14855740908778334
static-similarity-mrl-multilingual-v1,welfare,Hard ($d$: bottom 20%),Mean,0.013520058366469112,0.004408521214838345,0.02041766518859711
potion-base-4M,rai,Easy ($d$: top 20%),Worst,0.07290561761432005,0.030904063822367912,0.10217747354530478
xlm-roberta-base,welfare,Easy ($d$: top 20%),Mean,0.08444443346189753,0.07508147957076358,0.09266341359841045
potion-base-2M,rai,Hard ($d$: bottom 20%),Best,0.019424504243297763,0.009619768137709556,0.039158195011392345
paraphrase-multilingual-MiniLM-L12-v2,rai,Hard ($d$: bottom 20%),Mean,0.021802697195882553,0.009517066835801492,0.03574500898991793
snowflake-arctic-embed-l-v2.0,rai,Easy ($d$: top 20%),Best,0.4153725111445341,0.3790216029833538,0.4418446553184493
