model,dataset,auc_log,auc_linear,experiment
text-embedding-3-small,welfare,0.41795654209489674,0.48781895471809306,policy
multilingual-e5-large,welfare,0.36659563446634613,0.4346617397218281,policy
xlm-roberta-large,welfare,0.13071268680423798,0.1450597734786464,policy
text-embedding-3-large,rai,0.36757529594833305,0.4319316287821531,policy
potion-base-4M,welfare,0.18995717071424523,0.22328838554010397,policy
mxbai-embed-large-v1,rai,0.19478316054396708,0.22330864735795775,policy
tfidf-char35,welfare,0.26721097072562544,0.32117168449003886,policy
EmbeddingGemma-Scandi-300m,welfare,0.44022917489987523,0.5172713091252068,policy
mmBERTscandi-base-embedding,welfare,0.3335437486977842,0.39455192173706094,policy
EmbeddingGemma-Scandi-300m,rai,0.31121786706842997,0.37721690821157405,policy
Qwen3-Embedding-Scandi-0.6B,welfare,0.2718958552457865,0.3238454376970711,policy
jaccard-binary,welfare,-0.15812039137600803,-0.12912922989589334,policy
mxbai-embed-large-v1,welfare,0.18991113684032432,0.21653842193331083,policy
M2V_base_output,rai,0.11988902306524792,0.13575006340505646,policy
multilingual-e5-large-instruct,rai,0.37655658718862256,0.4458814546758237,policy
Qwen3-Embedding-Scandi-0.6B,rai,0.2823048293036988,0.333165740003014,policy
nb-sbert-base,rai,0.3263365849137878,0.38645763855889975,policy
M2V_base_output,welfare,0.1862341378117143,0.2181375730708823,policy
M2V_base_glove,welfare,-0.005078669574678185,0.008270018833247806,policy
xlm-roberta-base,rai,0.16175974135195184,0.17729582685144007,policy
multilingual-e5-small,rai,0.26737305549549434,0.31564187120463316,policy
multilingual-e5-large-instruct,welfare,0.44679782974458654,0.5361484635934266,policy
multilingual-e5-small,gov-ai,0.25535925903905443,0.2863303880506316,gov-ai
mxbai-embed-large-v1,gov-ai,0.3243524606655821,0.3580777961729578,gov-ai
multilingual-e5-base,gov-ai,0.24797141116141336,0.28092596447690993,gov-ai
m2v-dfm-large,gov-ai,0.14346348105134332,0.16575638587438055,gov-ai
M2V_base_glove_subword,gov-ai,0.19044025029355427,0.20944328721317768,gov-ai
text-embedding-3-large,gov-ai,0.3144164121026455,0.35201662346702234,gov-ai
xlm-roberta-base,gov-ai,0.16061333740662948,0.18411295632629804,gov-ai
model2vecdk,gov-ai,0.16904926894515637,0.18822359907478647,gov-ai
Qwen3-Embedding-Scandi-0.6B,gov-ai,0.3099096371899113,0.3386621578152185,gov-ai
potion-multilingual-128M,gov-ai,0.2141194774886747,0.23501519022553344,gov-ai
model2vecdk-stem,gov-ai,0.17665642847800764,0.19591878090102752,gov-ai
potion-base-4M,gov-ai,0.21882959939950003,0.23943282556695028,gov-ai
potion-base-8M,gov-ai,0.22272701888357166,0.24547239711585006,gov-ai
M2V_base_output,gov-ai,0.19096886484702752,0.213592714400446,gov-ai
xlm-roberta-large,gov-ai,0.17553950260609086,0.19930556227020893,gov-ai
static-similarity-mrl-multilingual-v1,gov-ai,0.192675367391153,0.213537967255383,gov-ai
text-embedding-ada-002,gov-ai,0.30070141396255534,0.33683710128804506,gov-ai
multilingual-e5-large,gov-ai,0.22135812486429846,0.25326410005820643,gov-ai
Qwen3-Embedding-0.6B,gov-ai,0.27254527941639717,0.29499833607847886,gov-ai
snowflake-arctic-embed-l-v2.0,gov-ai,0.2697170154549896,0.3052333244673417,gov-ai
paraphrase-multilingual-MiniLM-L12-v2,gov-ai,0.2966183587046526,0.3268590539814865,gov-ai
text-embedding-3-small,gov-ai,0.30829027579351675,0.3397787177256547,gov-ai
multilingual-e5-large-instruct,gov-ai,0.30368231951515195,0.3370703574909045,gov-ai
mmBERTscandi-base-embedding,gov-ai,0.3342788466426182,0.36402335207943926,gov-ai
jaccard-binary,gov-ai,0.10066443272022477,0.11628389162033981,gov-ai
potion-base-2M,gov-ai,0.20814271745688878,0.2277967508657269,gov-ai
bge-m3,gov-ai,0.2859967341272357,0.3206814337456764,gov-ai
LaBSE,gov-ai,0.23270319806603826,0.25581751056268287,gov-ai
nb-sbert-base,gov-ai,0.2832778292557201,0.31357850202395887,gov-ai
dfm-sentence-encoder-large,gov-ai,0.2211891659951002,0.24402668117958254,gov-ai
M2V_base_glove,gov-ai,0.18503175675015957,0.20049518030910324,gov-ai
tfidf-char35,gov-ai,0.15243495734993853,0.17009743498421154,gov-ai
paraphrase-multilingual-mpnet-base-v2,gov-ai,0.31448085691655764,0.349187255721159,gov-ai
EmbeddingGemma-Scandi-300m,gov-ai,0.3022944531575669,0.3349366444894614,gov-ai
