dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,2,paraphrase-multilingual-mpnet-base-v2,0.4499106209415689,0.014885189535297562
gov-ai,2,potion-base-2M,0.47222777495167445,0.04403111795600837
gov-ai,2,potion-base-4M,0.5171246480181713,0.10428355862492553
gov-ai,2,potion-base-8M,0.5171246480181713,0.10428355862492553
gov-ai,2,potion-multilingual-128M,0.5884461195740442,0.1477353397428594
gov-ai,2,snowflake-arctic-embed-l-v2.0,0.5878846634457001,0.1700459912372344
gov-ai,2,static-similarity-mrl-multilingual-v1,0.3836906536299879,-0.04486426295982121
gov-ai,2,text-embedding-3-large,0.5971148430384821,0.1715226531756952
gov-ai,2,text-embedding-3-small,0.6101369338743329,0.19710169415500628
gov-ai,2,text-embedding-ada-002,0.5844624957497762,0.16415956913827656
gov-ai,2,xlm-roberta-base,0.5227004020393298,0.11593458540169063
gov-ai,2,xlm-roberta-large,0.6152510161502132,0.29694649700552417
gov-ai,9,EmbeddingGemma-Scandi-300m,0.6950590775670162,0.10918674698795179
gov-ai,9,LaBSE,0.7263731033934531,0.19959404600811909
gov-ai,9,M2V_base_glove,0.6179419539938333,-0.015267175572519082
gov-ai,9,M2V_base_glove_subword,0.6718202411729961,0.0916030534351145
gov-ai,9,M2V_base_output,0.6736381711365524,0.07645466847090665
gov-ai,9,Qwen3-Embedding-0.6B,0.7319006358961304,0.26116373477672533
gov-ai,9,Qwen3-Embedding-Scandi-0.6B,0.7444400172145871,0.28652886671418387
gov-ai,9,bge-m3,0.6736381711365524,0.07645466847090665
gov-ai,9,dfm-sentence-encoder-large,0.7668352902682651,0.2968448164842241
gov-ai,9,m2v-dfm-large,0.7483733439316499,0.26116373477672533
gov-ai,9,mmBERTscandi-base-embedding,0.7444400172145871,0.28652886671418387
gov-ai,9,model2vecdk,0.6369339302696506,0.04593110334498253
gov-ai,9,model2vecdk-stem,0.7026624853955291,0.182226660009985
gov-ai,9,multilingual-e5-base,0.682155394868611,0.09194583036350676
gov-ai,9,multilingual-e5-large,0.718241869595895,0.22166785459729152
gov-ai,9,multilingual-e5-large-instruct,0.7263731033934532,0.19959404600811909
gov-ai,9,multilingual-e5-small,0.6821553948686108,0.09194583036350676
gov-ai,9,mxbai-embed-large-v1,0.705440845211928,0.19959404600811909
gov-ai,9,nb-sbert-base,0.682155394868611,0.09194583036350676
gov-ai,9,paraphrase-multilingual-MiniLM-L12-v2,0.6645806643284363,0.09136295556665001
gov-ai,9,paraphrase-multilingual-mpnet-base-v2,0.736325338715496,0.26116373477672533
gov-ai,9,potion-base-2M,0.7236225297720333,0.23824855119124275
gov-ai,9,potion-base-4M,0.6821553948686108,0.09194583036350677
gov-ai,9,potion-base-8M,0.6821553948686108,0.09194583036350677
gov-ai,9,potion-multilingual-128M,0.6603052133601992,0.062459755312298776
gov-ai,9,snowflake-arctic-embed-l-v2.0,0.6336726941331825,0.0038634900193174476
gov-ai,9,static-similarity-mrl-multilingual-v1,0.6647997909789403,0.0916030534351145
gov-ai,9,text-embedding-3-large,0.7083535424873029,0.15680684248039914
gov-ai,9,text-embedding-3-small,0.718241869595895,0.22166785459729152
gov-ai,9,text-embedding-ada-002,0.6869377325872157,0.1210560206052801
gov-ai,9,xlm-roberta-base,0.6645806643284364,0.09136295556665003
gov-ai,9,xlm-roberta-large,0.6238385290183168,0.043313708999158956
gov-ai,19,EmbeddingGemma-Scandi-300m,0.6055633169624409,0.08846770082295535
gov-ai,19,LaBSE,0.669050580486968,0.2183653776127012
gov-ai,19,M2V_base_glove,0.5442576459177065,0.03535369349106775
gov-ai,19,M2V_base_glove_subword,0.5568278501906839,0.06528192635527014
gov-ai,19,M2V_base_output,0.5772351245690354,0.07026277452064437
gov-ai,19,Qwen3-Embedding-0.6B,0.6125070840428792,0.1438392761728351
gov-ai,19,Qwen3-Embedding-Scandi-0.6B,0.6311211812477142,0.18691492311853858
gov-ai,19,bge-m3,0.6591648360245634,0.2331859241348762
gov-ai,19,dfm-sentence-encoder-large,0.5954466871834062,0.12550713430212762
gov-ai,19,m2v-dfm-large,0.5776832968027339,0.05849320505793184
gov-ai,19,mmBERTscandi-base-embedding,0.5117299044927115,-0.011242125753076204
gov-ai,19,model2vecdk,0.4985404644494971,0.007056889601791714
gov-ai,19,model2vecdk-stem,0.5599671101043953,0.04733020300581263
gov-ai,19,multilingual-e5-base,0.6304817751034854,0.15730828053310028
gov-ai,19,multilingual-e5-large,0.6024146396251874,0.14482672800901647
gov-ai,19,multilingual-e5-large-instruct,0.6128598667691105,0.10526446528736166
gov-ai,19,multilingual-e5-small,0.6042535571338733,0.14417671290140088
gov-ai,19,mxbai-embed-large-v1,0.7194167456742111,0.33116708953953694
gov-ai,19,nb-sbert-base,0.5906972966645647,0.09923332233905881
gov-ai,19,paraphrase-multilingual-MiniLM-L12-v2,0.5699599228869463,0.04243626871620796
gov-ai,19,paraphrase-multilingual-mpnet-base-v2,0.5202264999042467,-0.030133734361633958
gov-ai,19,potion-base-2M,0.5522980415214598,0.03159911762392561
gov-ai,19,potion-base-4M,0.5667404660841584,0.053747668949698346
gov-ai,19,potion-base-8M,0.6137996714187395,0.1318871984898622
gov-ai,19,potion-multilingual-128M,0.5776832968027338,0.05849320505793184
gov-ai,19,snowflake-arctic-embed-l-v2.0,0.6491336223636822,0.22196696241595942
gov-ai,19,static-similarity-mrl-multilingual-v1,0.5059498826196819,0.01049953093565592
gov-ai,19,text-embedding-3-large,0.5942559074786591,0.10833934062348904
gov-ai,19,text-embedding-3-small,0.592720861132888,0.11392715161730349
gov-ai,19,text-embedding-ada-002,0.5738595500787511,0.08383741028350092
gov-ai,19,xlm-roberta-base,0.5078301653830618,-0.0549481154813993
gov-ai,19,xlm-roberta-large,0.6022643668772507,0.13470387462808198
gov-ai,11,EmbeddingGemma-Scandi-300m,0.5276964955620013,0.1385881333910784
