dataset,seed,model,v_measure,adjusted_rand_index
gov-ai,18,dfm-sentence-encoder-large,0.15726245867456068,-0.015187905479188078
gov-ai,18,jaccard-binary,0.17327111103182158,0.024308597171818293
gov-ai,18,m2v-dfm-large,0.5911038390064021,0.008442534214480765
gov-ai,18,mmBERTscandi-base-embedding,0.5493981150753253,0.24711406769712385
gov-ai,18,model2vecdk,0.17327111103182158,0.024308597171818293
gov-ai,18,model2vecdk-stem,0.17327111103182158,0.024308597171818293
gov-ai,18,multilingual-e5-base,0.6045939499506587,0.09052124276600368
gov-ai,18,multilingual-e5-large,0.6536314210633078,0.16391229414017616
gov-ai,18,multilingual-e5-large-instruct,0.5493981150753253,0.24711406769712385
gov-ai,18,multilingual-e5-small,0.5631146484688357,0.008442534214480765
gov-ai,18,mxbai-embed-large-v1,0.3671053903334655,0.09826460481099655
gov-ai,18,nb-sbert-base,0.36445792393936743,0.1311499703615886
gov-ai,18,paraphrase-multilingual-MiniLM-L12-v2,0.20993084991616645,0.003855063270811922
gov-ai,18,paraphrase-multilingual-mpnet-base-v2,0.5493981150753253,0.24711406769712385
gov-ai,18,potion-base-2M,0.5792342829788937,0.041064104022845924
gov-ai,18,potion-base-4M,0.6819369302165182,0.257678405656837
gov-ai,18,potion-base-8M,0.5792342829788937,0.041064104022845924
gov-ai,18,potion-multilingual-128M,0.47098472976536837,0.21612981373147186
gov-ai,18,snowflake-arctic-embed-l-v2.0,0.6148198312312816,0.1900283655687476
gov-ai,18,static-similarity-mrl-multilingual-v1,0.15363150343491092,0.007769156968255954
gov-ai,18,text-embedding-3-large,0.48745012709555446,0.24230431037576716
gov-ai,18,text-embedding-3-small,0.5493981150753253,0.24711406769712385
gov-ai,18,text-embedding-ada-002,0.5493981150753253,0.24711406769712385
gov-ai,18,tfidf-char35,0.6964166676858998,0.06978015735507144
gov-ai,18,xlm-roberta-base,0.15292769843547488,-0.02032031752243061
gov-ai,18,xlm-roberta-large,0.0901733453378042,-0.06919249797355842
